Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s),DateMonthyear
SOS,Rihanna,"February 14, 2006","Dance-pop, hip hop, R&B",3:59,"Def Jam, SRP","Jonathan Rotem, Evan Bogart, Edward Cobb",J. R. Rotem,,,14 02 2006
Southern Nights,Allen Toussaint,May 1975,New Orleans R&B,3:35,Reprise,Allen Toussaint,"Allen Touissaint, , Marshall Sehorn",,,May 1975
So Emotional,Whitney Houston,"October 12, 1987","Dance-pop, rock, R&B",4:36,Arista,"Billy Steinberg, Tom Kelly",Narada Michael Walden,,,12 10 1987
So Much in Love,the Tymes,1963,"Doo-wop, R&B",2:08,Parkway Records,"George Williams, Bill Jackson, Roy Straigis",,,,1963
So Sick,Ne-Yo,"November 21, 2005",R&B,3:27,Def Jam,"Mikkel S, Eriksen, Tor Erik Hermansen, Shaffer Smith",Stargate,,,21 11 2005
So What,Pink,"August 11, 2008","Pop rock, glam rock, electronic rock",3:35,LaFace,"Pink, Max Martin, Shellback",Max Martin,,,11 08 2008
Stagger Lee,Waring's Pennsylvanians,1923,,3:21,Victor,"Ray Lopez, credited on single)",,,,1923
Stand Up,"Ludacris, Shawnna","August 19, 2003",Hip hop,3:33,"Disturbing tha Peace, Island Def Jam Music Group","Christopher Bridges, Kanye West","West, Ludacris (co.)",,,19 08 2003
Starboy,"the Weeknd, Daft Punk","September 21, 2016","R&B, electropop",3:50,"XO, Republic","Abel Tesfaye, Guy-Manuel de Homem-Christo, Thomas Bangalter, Martin McKinney, Henry Walter, Jason Quenneville","Daft Punk, Don McKinney, Cirkut, The Weeknd",,,21 09 2016
Stars on 45,Stars on 45,January 1981,"Disco, pop, novelty",4:48,"CNR Records, (NL), CBS Records, (UK), Radio/, Atlantic Records, (US)","Robbie van Leeuwen, Jeff Barry, Andy Kim, Lennon-McCartney",Jaap Eggermont,,,January 1981
Star Wars Theme/Cantina Band,Meco,1977,"Disco, instrumental",3:327,"Millennium, RCA",John Williams,"Tony Bongiovi, Domenico Monardo, Harold Wheeler",,,1977
Static,Steve Lacy,"July 8, 2022","R&B, bedroom pop, funk",2:36,RCA,"Steve Lacy, John Kirby",Steve Lacy,,,08 07 2022
Stayin' Alive,Bee Gees,"December 15, 1977",Disco,453:25,RSO,"Barry Gibb, Robin Gibb, Maurice Gibb","Bee Gees, Albhy Galuten, Karl Richardson",,,15 12 1977
Stay,Lisa Loeb and Nine Stories,"May 17, 1994","Pop rock, folk rock, folk-pop, alternative rock, alternative pop",3:04,"RCA, BMG",Lisa Loeb,Juan Patiño,,,17 05 1994
Stay,Maurice Williams and the Zodiacs,August 1960,Doo-wop,1:36,Herald,Maurice Williams,Phil Gernhard,,,August 1960
Stay,"the Kid Laroi, Justin Bieber",9 July 2021,"Electropop, pop rap, pop rock, synth-pop",2:21,"Grade A, Columbia","Charlton Howard, Justin Bieber, Magnus Høiberg, Charlie Puth, Omer Fedi, Blake Slatkin, Michael Mule, Isaac De Boni, Subhaan Rahmaan","Cashmere Cat, Charlie Puth, Omer Fedi, Blake Slatkin",,,9 July 2021
Step by Step,New Kids on the Block,"May 10, 1990","Dance-pop, R&B",4:29,Columbia,Maurice Starr,Maurice Starr,,,10 05 1990
Still,Commodores,"September 14, 1979","Pop, soul, easy listening",5:503,Motown,Lionel Richie,"James Anthony Carmichael, , Commodores",,,14 09 1979
Stop! In the Name of Love,the Supremes,"February 8, 1965","Pop, R&B, soul",2:52,Motown,Holland–Dozier–Holland,"Brian Holland, Lamont Dozier",,,08 02 1965
Straight Up,Paula Abdul,"November 22, 1988","Dance-pop, new jack swing, funk",4:11,Virgin,Elliot Wolff,Elliot Wolff,,,22 11 1988
Strangers in the Night,Frank Sinatra,"April 12, 1966",Traditional pop,2:35,"Reprise, ",,Jimmy Bowen,"Charles Singleton, Eddie Snyder, [, 1, ]",Bert Kaempfert,12 04 1966
Stranger on the Shore,Mr. Acker Bilk,October 1961,Jazz,2:52,"Columbia, DB4750 (UK), Atco, 45-6217 (US)","Acker Bilk, Robert Mellin",Denis Preston,,,October 1961
Stronger,Kanye West,"July 31, 2007","Hip hop, electronica",5:15,"Roc-A-Fella, Def Jam","Kanye West, Thomas Bangalter, Guy-Manuel de Homem-Christo, Edwin Birdsong",Kanye West,,,31 07 2007
Stronger,Kelly Clarkson,"January 17, 2012","Dance-pop, electropop",3:42,RCA,"Greg Kurstin, Jörgen Elofsson, Ali Tamposi, David Gamson, Kelly Clarkson, uncredited)",Greg Kurstin,,,17 01 2012
Stuck on You,Elvis Presley,"March 23, 1960","Rock and roll, blues",2:18,RCA Victor,"Aaron Schroeder, J, Leslie McFarland",,,,23 03 1960
Stuck with U,"Ariana Grande, Justin Bieber","May 8, 2020","Pop, R&B",3:48,"Republic, Def Jam, Silent","Ariana Grande, Justin Bieber, Freddy Wexler, Gian Stone, Whitney Phillips, Scott Braun, Skyler Stonestreet","Freddy Wexler, Gian Stone, Ariana Grande",,,08 05 2020
Stuck with You,Huey Lewis and the News,"July 21, 1986","New wave, doo-wop",4:29,Chrysalis,"Chris Hayes, Huey Lewis",Huey Lewis and the News,,,21 07 1986
Stutter,"Joe, Mystikal","January 2, 2001","R&B, hip hop",3:53,Jive,"Ernest E, Dixon, Roy, Royalty, Hamilton","Roy ""Royalty"" Hamilton, Teddy Riley",,,02 01 2001
St. Elmo's Fire,John Parr,13 June 1985,"Rock, pop rock",4:08,Atlantic,"David Foster, John Parr",David Foster,,,13 June 1985
Sucker,Jonas Brothers,"March 1, 2019","Pop rock, dance-rock, tropical",3:01,Republic,"Ryan Tedder, Louis Bell, Mustafa Ahmed, Adam Feeney, Homer Steinweiss, Nicholas Jonas, Joseph Jonas, Kevin Jonas II",Ryan Tedder,,Ryan Tedder,01 03 2019
Sugar Shack,Jimmy Gilmer and the Fireballs,1963,"Pop rock, pop",2:00,Dot,"Keith McCormack, Faye Voss",Norman Petty,,,1963
"Sugar, Sugar",The Archies,"May 24, 1969",Bubblegum pop,2:48,Calendar/Kirshner,"Jeff Barry, Andy Kim",Jeff Barry,,,24 05 1969
Sukiyaki,Kyu Sakamoto,15 October 1961,"Kayōkyoku, orchestral pop",3:05,"Toshiba-EMI, (Japan), Capitol, /, EMI, (US and Canada), HMV, /EMI (UK)",,Kōji Kusano,Rokusuke Ei,Hachidai Nakamura,15 October 1961
Summer in the City,the Lovin' Spoonful,"July 4, 1966","Pop, rock, hard rock, psychedelic rock",2:39,Kama Sutra,"John Sebastian, Mark Sebastian, Steve Boone",Erik Jacobsen,,,04 07 1966
Sundown,Gordon Lightfoot,"March 25, 1974","Folk rock, country rock",3:37,Reprise,Gordon Lightfoot,Lenny Waronker,,,25 03 1974
Sunflower,"Post Malone, Swae Lee","October 18, 2018","Dream pop, hip hop, R&B",2:38,Republic,"Austin Post, Khalif Brown, Carter Lang, Carl Rosen, Billy Walsh, Louis Bell","Carter Lang, Louis Bell",,,18 10 2018
Sunshine on My Shoulders,John Denver,May 1973,"Folk, country, soft rock",3:18,RCA Records,"John Denver, Dick Kniss, Mike Taylor",Milt Okun,,,May 1973
Sunshine Superman,Donovan,1 July 1966,"Psychedelic pop, folk rock, psychedelic folk, psychedelic rock",3:15,Epic,Donovan,Mickie Most,,,1 July 1966
Superstition,Stevie Wonder,"October 24, 1972","Funk, funk rock, pop, soul",4:26,Motown,Stevie Wonder,"Stevie Wonder, Malcolm Cecil, (add.), Robert Margouleff, (add.)",,,24 10 1972
Super Freaky Girl,Nicki Minaj,"August 12, 2022",Pop rap,2:50,"Young Money, Republic",,"Dr. Luke, Malibu Babie, Vaughn Oliver, Aaron Joseph","Onika Maraj, Gamal Lewis","James Johnson, Alonzo Miller, Lukasz Gottwald, Aaron Joseph, Lauren Miller, Vaughn Oliver, Stanley Burrell",12 08 2022
Surf City,Jan and Dean,"May 17, 1963",Vocal surf,2:36,"Liberty, #55580","Brian Wilson, Jan Berry",Jan Berry,,,17 05 1963
Surrender,Elvis Presley,"February 7, 1961",Rock and roll,1:52,RCA Victor,"Doc Pomus, Mort Shuman, Ernesto De Curtis",,,,07 02 1961
Suspicious Minds,Mark James,1968,Rock,2:47,Scepter,Mark James,Chips Moman,,,1968
Sussudio,Phil Collins,14 January 1985,"Funk, dance-pop, R&B",4:23,"Virgin, Atlantic",Phil Collins,"Phil Collins, Hugh Padgham",,,14 January 1985
Sweet Child o' Mine,Guns N' Roses,June 1988,"Hard rock, glam metal",5:55,Geffen,"Guns N, Roses",Mike Clink,,,June 1988
Sweet Dreams,Eurythmics,21 January 1983,"Synth-pop, new wave, electronic",3:36,RCA,"Annie Lennox, David A, Stewart",David A. Stewart,,,21 January 1983
S&M,Rihanna,"January 23, 2011","Eurodance, hi-NRG",4:03,"Def Jam, SRP","Mikkel S, Eriksen, Tor Erik Hermansen, Sandy Wilhelm, Ester Dean, Britney Spears, remix only, Laurence Tolhurst, uncredited, Robert Smith, uncredited)","Stargate, Sandy Vee",,,23 01 2011
Take a Bow,Madonna,"December 6, 1994","Pop, R&B, soul",5:21,"Maverick, Sire, Warner Bros.","Madonna, Kenneth Edmonds","Madonna, Babyface",,,06 12 1994
Take a Bow,Rihanna,"April 15, 2008","Pop, R&B",3:48,"Def Jam, SRP","Mikkel S, Eriksen, Tor Erik Hermansen, Shaffer Smith","StarGate, Ne-Yo",,,15 04 2008
Take Good Care of My Baby,Bobby Vee,"July 20, 1961",Pop,2:36,Liberty,"Carole King, Gerry Goffin",Snuff Garrett,,,20 07 1961
Take My Breath Away,Berlin,June 1986,Synth-pop,4:13,Columbia,,Giorgio Moroder,"Tom Whitlock, [, 3, ]",Giorgio Moroder,June 1986
Take On Me,a-ha,19 October 1984,"Synth-pop, new wave",3:44,Warner Bros.,"Magne Furuholmen, Morten Harket, Pål Waaktaar","John Ratcliff, Alan Tarney",,,19 October 1984
Teenage Dream,Katy Perry,"July 23, 2010","Electropop, power pop, disco, pop rock",3:47,Capitol,"Katy Perry, Lukasz Gottwald, Max Martin, Benjamin Levin, Bonnie McKee","Dr. Luke, Benny Blanco, Max Martin",,,23 07 2010
Teen Angel,Mark Dinning,October 1959,Pop,2:42,MGM,"Jean Surrey, Red Surrey",Jim Vienneau,,,October 1959
Tell Her About It,Billy Joel,"July 18, 1983","Soul, pop rock",3:52,Columbia,Billy Joel,Phil Ramone,,,18 07 1983
Telstar,The Tornados,17 August 1962,"Space age pop, surf rock, rock and roll",3:15,"Decca, (UK),  London, (USA)",Joe Meek,Joe Meek,,,17 August 1962
Temperature,Sean Paul,5 December 2005,Dancehall,3:36,"Atlantic, VP","Sean Paul Henriques, Adrian, IZES, Marshall, Rohan Fuller","Rohan ""Snowcone"" Fuller",,,5 December 2005
Texas Hold 'Em,Beyoncé,"February 11, 2024","Country pop, western, soul",3:53,"Parkwood, Columbia",,"Beyoncé, Killah B, Nathan Ferraro","Beyoncé, Elizabeth Lowell Boland, Megan Bülow","Brian Bates, Nathan Ferraro, Raphael Saadiq, Dahiana Martinez (Vrita B)",11 02 2024
Thank God I Found You,"Mariah Carey, Joe, 98 Degrees","November 15, 1999","Pop, R&B",4:17,Columbia,"Mariah Carey, James Harris III, Terry Lewis","Mariah Carey, Jimmy Jam and Terry Lewis",,,15 11 1999
Thank God I'm a Country Boy,John Denver,March 1975,"Country, soft rock",3:132,RCA Victor,John Martin Sommers,Milton Okun,,,March 1975
"Thank U, Next",Ariana Grande,"November 3, 2018","Pop, R&B",3:27,Republic,,"Tommy Brown, Social House","Ariana Grande, Victoria Monét, Tayla Parx","Ariana Grande, Tayla Parx, Njomza Vitia, Kimberly Krysiuk, Tommy Brown, Michael Foster, Charles Anderson",03 11 2018
Thank You,Sly and the Family Stone,December 1969,Funk,4:50,Epic,Sylvester Stewart,Sly Stone,,,December 1969
That's the Way Love Goes,Janet Jackson,"April 20, 1993","R&B, pop, new jack swing, funk, downtempo, trip hop",4:24,Virgin,"Janet Jackson, James Harris III, Terry Lewis","Jimmy Jam and Terry Lewis, Janet Jackson",,,20 04 1993
That's the Way,KC and the Sunshine Band,"June 10, 1975","Disco, funk",3:06,TK,"Harry Wayne Casey, Richard Finch","Harry Wayne Casey, Richard Finch",,,10 06 1975
That's What Friends Are For,Rod Stewart,1982,Pop,3:54,Warner Bros.,"Burt Bacharach, Carole Bayer Sager",,,,1982
That's What I Like,Bruno Mars,"January 30, 2017","Hip hop soul, new jack swing, R&B, funk",3:26,Atlantic,"Bruno Mars, Philip Lawrence, Christopher Brody Brown, James Fauntleroy, Johnathan Yip, Ray Romulus, Jeremy Reeves, Ray McCullough II","Shampoo Press & Curl, The Stereotypes, (co.)",,,30 01 2017
Tha Crossroads,Bone Thugs-n-Harmony,"April 23, 1996",Hip hop,3:44,Ruthless,"Bone, Tim Middleton, Tony-C",Tim Middleton,,,23 04 1996
Theme fromA Summer Place,Percy Faith,September 1959,"Easy listening, waltz",2:25,"Columbia, /, CBS Records",,,Mack Discant,Max Steiner,September 1959
Theme fromMahogany,Diana Ross,"September 24, 1975",Soul,3:25,Motown,"Michael Masser, Gerald Goffin",Michael Masser,,,24 09 1975
Theme fromShaft,Isaac Hayes,"September 30, 1971","Soul, funk, disco",3:15,"Enterprise, ENA-9038",Isaac Hayes,Isaac Hayes,,,30 09 1971
Theme fromS.W.A.T.,Rhythm Heritage,November 1975,"Disco, funk",3:21,ABC,Barry De Vorzon,"Michael Omartian, , , Steve Barri",,,November 1975
Then Came You,"Dionne Warwick, the Spinners","July 13, 1974","Philadelphia soul, proto-disco",3:53,Atlantic,"Sherman Marshall, Phillip Pugh",Thom Bell,,,13 07 1974
There'll Be Sad Songs,Billy Ocean,22 January 1986,Soul,4:55,Jive,"Billy Ocean, Wayne Brathwaite, Barry Eastmond","Barry J. Eastmond, Wayne Brathwaite",,,22 January 1986
There! I've Said It Again,Vaughn Monroe and his Orchestra,February 1945,Popular music,3:05,Victor 20-1637,"Redd Evans, David Mann",,,,February 1945
These Boots Are Made for Walkin',Nancy Sinatra,"December 16, 1965","Pop, go-go, folk rock, country",2:40,Reprise,Lee Hazlewood,Lee Hazlewood,,,16 12 1965
These Dreams,Heart,January 1986,"Rock, synth-pop",4:15,"Capitol,  Epic","Bernie Taupin, Martin Page",Ron Nevison,,,January 1986
The Ballad of the Green Berets,Barry Sadler,January 1966,"Country, folk, pop, march",2:27,RCA Victor,"Robin Moore, Staff Sgt, Barry Sadler",Andy Wiswell,,,January 1966
The Battle of New Orleans,Johnny Horton,"April 6, 1959","Country, novelty, march",2:33,Columbia,Jimmy Driftwood,Don Law,,,06 04 1959
The Box,Roddy Ricch,"January 11, 2020","Hip hop, trap",3:16,"Atlantic, Bird Vision","Rodrick Moore, Jr, Samuel Gloade, Adarius Moragne, Aqeel Tate","30 Roc, Datboisqueeze, Zentachi",,,11 01 2020
The Boy Is Mine,"Brandy, Monica","May 4, 1998",R&B,4:54,Atlantic,"LaShawn Daniels, Rodney Jerkins, Fred Jerkins III, Japhe Tejeda, Brandy Norwood","Darkchild, Brandy, Dallas Austin",,,04 05 1998
The Candy Man,Aubrey Woods,1971,Musical,2:31,Paramount,"Leslie Bricusse, Anthony Newley",,,,1971
The Chipmunk Song,"Alvin and the Chipmunks, David Seville","November 17, 1958","Christmas, pop, novelty",2:212,"Liberty, F-55168, Liberty, F-55250",Ross Bagdasarian,Ross Bagdasarian,,,17 11 1958
The First Night,Monica,"July 28, 1998",,3:55,Arista,"Jermaine Dupri, Pam Sawyer, Marilyn McLeod, Tamara Savage",Jermaine Dupri,,,28 07 1998
The First Time Ever I Saw Your Face,Roberta Flack,"March 7, 1972","Soul, vocal jazz",5:224,"Atlantic, 2864",Ewan MacColl,Joel Dorn,,,07 03 1972
The First Time,Surface,October 1990,"R&B, quiet storm",4:16,Columbia,"Brian Simpson, Bernard Jackson",Surface,,,October 1990
The Flame,Cheap Trick,"April 5, 1988","Soft rock, hair metal",4:44,Epic,"Bob Mitchell, Nick Graham",Richie Zito,,,05 04 1988
The Game of Love,"Wayne Fontana, The Mindbenders",22 January 1965,"Blues rock, beat, blue-eyed soul",2:04,Fontana,Clint Ballard Jr.,,,,22 January 1965
The Greatest Love of All,George Benson,June 1977,"Smooth jazz, R&B, soul",5:32,Arista,"Michael Masser, composition, Linda Creed, lyrics)",Michael Masser,,,June 1977
The Happening,The Supremes,"March 20, 1967",Pop,2:52,"Motown, M 1107","Holland–Dozier–Holland, DeVol","Brian Holland, Lamont Dozier",,,20 03 1967
The Happy Organ,"Dave ""Baby"" Cortez",1959,"Instrumental rock, R&B",2:06,Clock,"Dave, Baby, Cortez, James J, Kriegsmann, Ken Wood",,,,1959
The Hills,the Weeknd,"May 27, 2015","trap, industrial, electronic",4:02,"XO, Republic","Abel Tesfaye, Emmanuel Nickerson, Carlo Montagnese, Ahmad Balshe, Tom Raybould","Illangelo, Mano",,,27 05 2015
The House of the Rising Sun,the Animals,"June 19, 1964","Folk rock, blues rock",4:29,Columbia,"Traditional, arr, by, Alan Price",Mickie Most,,,19 06 1964
The Hustle,Van McCoy & the Soul City Symphony,"April 18, 1975","Disco, dance",3:29,Avco Records,Van McCoy,"Hugo Peretti, , , Luigi Creatore",,,18 04 1975
The Joker,Steve Miller Band,October 1973,Rock,4:26,Capitol,"Eddie Curtis, Ahmet Ertegun, Steve Miller",Steve Miller,,,October 1973
The Letter,the Box Tops,August 1967,"Pop rock, blue-eyed soul",1:58,Mala,Wayne Carson,Dan Penn,,,August 1967
The Lion Sleeps Tonight,the Tokens,1961,"Rhythm and blues, doo-wop, folk",2:41,RCA Victor,"Solomon Linda, Hugo Peretti, Luigi Creatore, George David Weiss, Albert Stanton",,,,1961
The Living Years,Mike + The Mechanics,27 December 1988,Soft rock,5:32,"Atlantic,  WEA","B, A, Robertson, Mike Rutherford","Christopher Neil, , Mike Rutherford",,,27 December 1988
The Loco-Motion,Little Eva,June 1962,"Pop, rhythm and blues",2:27,Dimension 1000,"Gerry Goffin, Carole King",Gerry Goffin,,,June 1962
The Long and Winding Road,the Beatles,11 May 1970,"Pop, rock",3:40,Apple,Lennon–McCartney,Phil Spector,,,11 May 1970
The Look,Roxette,12 January 1989,"Pop rock, glam rock, synth-rock",3:57,EMI,Per Gessle,Clarence Öfwerman,,,12 January 1989
The Love You Save,the Jackson 5,"May 13, 1970","Bubblegum, -, soul",3:00,"Motown, M 1166","The Corporation, Berry Gordy, Freddie Perren, Alphonzo Mizell, Deke Richards",The Corporation,,,13 05 1970
The Monster,"Eminem, Rihanna","October 29, 2013",Pop rap,4:12,"Aftermath, Shady, Interscope","Bebe Rexha, Marshall Mathers, Robyn Fenty, Aaron Kleinstub, Jonathan Bellion, Bryan Fryzel, Maki Athanasiou",Frequency,,,29 10 2013
The Morning After,Maureen McGovern,May 1973,Pop,2:14,20th Century,"Joel Hirschhorn, Al Kasha",Carl Maduri,,,May 1973
The Most Beautiful Girl,Charlie Rich,29 August 1973,"Country, country pop, blue-eyed soul",2:43,Epic,"Rory Bourke, Billy Sherrill, Norro Wilson",Billy Sherrill,,,29 August 1973
The Next Time I Fall,"Peter Cetera, Amy Grant",September 1986,Pop,3:47,Warner Bros.,"Bobby Caldwell, Paul Gordon",Michael Omartian,,,September 1986
The Night Chicago Died,Paper Lace,15 June 1974,Pop rock,3:30,"Bus Stop (UK),  Philips, (Europe),  Polydor, (Canada),  Mercury, (US),  Nippon Phonogram, (Japan),  EMI, (Australia/New Zealand)","Peter Callander, Mitch Murray","Peter Callander, Mitch Murray",,,15 June 1974
The Night the Lights Went Out in Georgia,Vicki Lawrence,7 November 1972,Country pop,3:40,Bell,Bobby Russell,Snuff Garrett,,,7 November 1972
The One That You Love,Air Supply,30 April 1981,Soft rock,4:17,Arista,Graham Russell,Harry Maslin,,,30 April 1981
The Power of Love,Huey Lewis and the News,"June 17, 1985","Pop rock, power pop",3:53,Chrysalis,"Huey Lewis, Chris Hayes, Johnny Colla",Huey Lewis and the News,,,17 06 1985
The Power of Love,Jennifer Rush,December 1984,Pop,6:00,CBS,,"Gunther Mende, Candy DeRouge","Jennifer Rush, Mary Susan Applegate","Gunther Mende, Candy DeRouge",December 1984
The Promise of a New Day,Paula Abdul,"July 5, 1991",Dance-pop,4:32,Virgin,"Paula Abdul, Peter Lord, Sandra St, Victor, V, Jeffrey Smith","Peter Lord, V. Jeffrey Smith",,,05 07 1991
The Reflex,Duran Duran,16 April 1984,"Dance-pop, synth-pop, new wave, funk",5:29,"EMI, Capitol","Simon Le Bon, John Taylor, Roger Taylor, Andy Taylor, Nick Rhodes","Duran Duran, Alex Sadkin, Ian Little",,,16 April 1984
The Scotts,,"April 24, 2020",,2:45,"Epic, Cactus Jack, Wicked Awesome","Jacques Webster II, Scott Mescudi, David Biral, Denzel Baptiste, Oladipo Omishore, Patrick Reynolds, Mike Dean","Take a Daytrip, Dot da Genius, Plain Pat",,,24 04 2020
The Sign,Ace of Base,1 November 1993,"Techno-reggae, Europop, pop",3:08,"Arista, Mega",Jonas Berggren,"Berggren, Denniz Pop, Douglas Carr",,,1 November 1993
The Sound of Silence,Simon & Garfunkel,"October 19, 1964",Folk rock,3:05,Columbia,Paul Simon,Tom Wilson,,,19 10 1964
The Streak,Ray Stevens,February 1974,"Country, novelty, comedy",3:18,Barnaby,Ray Stevens,Ray Stevens,,,February 1974
The Stripper,David Rose,May 1962,Jazz,1:57,MGM,David Rose,,,,May 1962
The Tears of a Clown,Smokey Robinson & the Miracles,July 1970,"Soul, pop",3:02,"Tamla, T 54199","Hank Cosby, Smokey Robinson, Stevie Wonder",Hank Cosby and Smokey Robinson,,,July 1970
The Three Bells,The Browns,"July 3, 1959","Country, folk",2:47,RCA Victor,"Jean Villard, Bert Reisfeld",Chet Atkins,,,03 07 1959
The Tide Is High,the Paragons,1967,Rocksteady,2:43,Treasure Isle,John Holt,,,,1967
The Twist,Chubby Checker,June 1960,"Pop, rock and roll",2:34,"Parkway, 811",Hank Ballard,Dave Appell,,,June 1960
The Way It Is,Bruce Hornsby and the Range,July 1986,"Soft rock, pop",4:58,RCA,Bruce Hornsby,"Bruce Hornsby, , Elliot Scheiner",,,July 1986
The Way We Were,Barbra Streisand,"September 27, 1973","Pop, soft rock, easy listening",3:29,Columbia,"Alan Bergman, Marilyn Bergman, Marvin Hamlisch",Marty Paich,,,27 09 1973
The Way You Make Me Feel,Michael Jackson,"November 9, 1987","Pop, R&B",4:58,"Epic, CBS",Michael Jackson,"Quincy Jones, Michael Jackson (, co., )",,,09 11 1987
The Way You Move,"OutKast, Sleepy Brown","August 25, 2003","Hip hop soul, Southern hip hop",3:55,"LaFace,  Arista","Antwan Patton, Carlton Mahone, Patrick Brown","Big Boi, Carl-Mo",,,25 08 2003
This Diamond Ring,Gary Lewis & the Playboys,January 1965,Pop rock,2:15,Liberty,"Al Kooper, Bob Brass, Irwin Levine",Snuff Garrett,,,January 1965
This Guy's in Love with You,Herb Alpert,May 1968,"Pop, easy listening",3:55,A&M,"Burt Bacharach, Hal David","Herb Alpert, , Jerry Moss",,,May 1968
This Is America,Childish Gambino,"May 6, 2018","Hip hop, Afrobeats, trap",3:45,"mcDJ, RCA","Donald Glover, Ludwig Göransson, Jeffery Lamar Williams","Donald Glover, Ludwig Göransson",,,06 05 2018
This Is How We Do It,Montell Jordan,"February 6, 1995","New jack swing, hip hop soul, R&B",4:37,"Rush Associated Labels, PMP, Def Jam","Montell Jordan, Oji Pierce, Ricky Walters","Montell Jordan, Oji Pierce",,,06 02 1995
This Is the Night,Clay Aiken,"June 10, 2003",Pop,3:32,RCA,"Aldo Nova, Gary Burr, Chris Braide",Steve Mac,,,10 06 2003
This Is Why I'm Hot,Mims,"December 12, 2006",Hip hop,4:13,"American King Music,  Capitol Records",Shawn Mims,"Blackout Movement, , Mike Moosh",,,12 12 2006
This Used to Be My Playground,Madonna,"June 16, 1992",Pop,5:08,"Sire, Warner Bros.","Madonna, Shep Pettibone","Madonna, Shep Pettibone",,,16 06 1992
Three Times a Lady,Commodores,"June 9, 1978","Pop, soft rock, adult contemporary, soul, R&B",3:36,Motown,Lionel Richie,"James Anthony Carmichael, & Commodores",,,09 06 1978
Thrift Shop,"Macklemore & Ryan Lewis, Wanz","August 27, 2012","Pop-rap, comedy hip hop",3:55,Macklemore LLC,"Ben Haggerty, Ryan Lewis",Lewis,,,27 08 2012
Ticket to Ride,the Beatles,9 April 1965,"Power pop, jangle pop, folk rock",3:10,"Parlophone, (UK),  Capitol, (US)",Lennon–McCartney,George Martin,,,9 April 1965
Tie a Yellow Ribbon Round the Ole Oak Tree,Dawn featuring Tony Orlando,"February 19, 1973",Pop,3:20,Bell,"Irwin Levine, L, Russell Brown","Hank Medress, , , Dave Appell",,,19 02 1973
Tighten Up,Archie Bell & the Drells,1968,"Funk, soul",3:15,Atlantic,"Archie Bell, Billy Buttler",,,,1968
Tik Tok,Kesha,"August 7, 2009","Dance-pop, electropop",3:20,RCA,"Kesha Sebert, Lukasz Gottwald, Benjamin Levin","Dr. Luke, Benny Blanco",,,07 08 2009
Timber,"Pitbull, Kesha","October 7, 2013","Dance-pop, EDM, folktronica",3:24,"Polo Grounds, RCA, Mr. 305","Kesha Sebert, Armando C, Pérez, Lukasz Gottwald, Aaron Davis Arnold, Priscilla Hamilton, Jamie Sanderson, Breyan Isaac, Henry Walter, Pebe Sebert, Lee Oskar, Keri Oskar, Greg Errico, Steve Arrington, Charles Carter, Waung Hankerson, Roger Parker","Dr. Luke, Cirkut, Sermstyle",,,07 10 2013
Time After Time,Cyndi Lauper,"March 12, 1984","Pop, new wave, soft rock",4:01,"Epic, Portrait","Cyndi Lauper, Rob Hyman",Rick Chertoff,,,12 03 1984
Time in a Bottle,Jim Croce,November 1973,Psychedelic folk,2:29,ABC,Jim Croce,"Terry Cashman, , , Tommy West",,,November 1973
Together Again,Janet Jackson,"December 1, 1997","Dance-pop, house",4:09,Virgin,"Janet Jackson, James Harris III, Terry Lewis, René Elizondo Jr.","Jimmy Jam and Terry Lewis, Janet Jackson",,,01 12 1997
Together Forever,Rick Astley,15 February 1988,Dance-pop,3:24,"RCA, BMG",Stock Aitken Waterman,Stock Aitken Waterman,,,15 February 1988
Tom Dooley,The Kingston Trio,,Folk,,,Thomas Land,,,,
Tonight's the Night,Rod Stewart,May 1976,"Soft rock, pop",3:56,"Riva, (UK);, Warner Bros., (US)",Rod Stewart,Tom Dowd,,,May 1976
Toosie Slide,Drake,"April 3, 2020",Trap,4:07,"Republic, OVO","Aubrey Graham, Ozan Yildirim",OZ,,,03 04 2020
Too Close,Next,"January 27, 1998",,4:20,Arista,"Kay Gee, Terry Brown, Robert Huggar, Raphael Brown",Kay Gee,,,27 01 1998
Too Much Heaven,Bee Gees,24 October 1978,"Soul, R&B",4:58,RSO,"Barry Gibb, Robin Gibb, Maurice Gibb","Bee Gees, Albhy Galuten, Karl Richardson",,,24 October 1978
"Too Much, Too Little, Too Late","Johnny Mathis, Deniece Williams","February 21, 1978",Soul,3:00,Columbia,"John Vallins, Nat Kipner",Jack Gold,,,21 02 1978
Too Sweet,Hozier,22 March 2024,"Soul, pop rock",4:11,"Rubyworks, Island","Andrew Hozier-Byrne, Daniel Tannenbaum, Peter Gonzales, Sergiu Gherman, Stuart Johnson, Tyler Mehlenbacher, Daniel Krieger","Hozier, Bekon, Chakra, Sergiu Gherman, Peter Gonzales",,,22 March 2024
Top of the World,Carpenters,"September 17, 1973","Soft rock, pop",2:56,"A&M, 1468","Richard Carpenter, John Bettis",Jack Daugherty,,,17 09 1973
Torn Between Two Lovers,Mary MacGregor,November 1976,Soft rock,3:40,Ariola,"Peter Yarrow, Phillip Jarrell","Peter Yarrow, Barry Beckett",,,November 1976
