Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s),DateMonthyear
Blinding Lights,the Weeknd,"November 29, 2019","Synth-pop, electropop, new wave, synthwave",3:22,"XO, Republic","Abel Tesfaye, Ahmad Balshe, Jason Quenneville, Max Martin, Oscar Holter","Max Martin, Oscar Holter, The Weeknd",,,29 11 2019
Blue Moon,,,,,,,,Lorenz Hart,Richard Rodgers,
Blue Velvet,Tony Bennett,"September 21, 1951",Traditional pop,3:01,Columbia,"Bernie Wayne, Lee Morris",,,,21 09 1951
Blurred Lines,"Robin Thicke, T.I., Pharrell","March 27, 2013","R&B, pop, funk, hip hop, blue-eyed soul",4:25,"Star Trak, Interscope","Robin Thicke, Pharrell Williams, Clifford Harris Jr, Marvin Gaye",Pharrell Williams,,,27 03 2013
Bodak Yellow,Cardi B,"June 16, 2017","Hip hop, trap",3:43,"Atlantic, KSR","Belcalis Almánzar, Dieuson Octave, Klenord Raphael, Jorden Thorpe, Anthony White, Laquan Green","J. White Did It, Laquan Green",,,16 06 2017
Boogie Fever,the Sylvers,November 1975,"Disco, pop-soul, bubblegum pop",3:31,Capitol,"Freddie Perren, Kenneth St, Lewis",Freddie Perren,,,November 1975
Boogie Oogie Oogie,A Taste of Honey,1978,"Disco, funk",5:37,Capitol,"Janice-Marie Johnson, Perry Kibble","Fonce Mizell, Larry Mizell",,,1978
Boom Boom Pow,Black Eyed Peas,"February 22, 2009","EDM, hip hop, electro",5:08,Interscope,"William Adams, Allan Pineda, Jaime Gomez, Stacy Ferguson",will.i.am,,,22 02 2009
Bootylicious,Destiny's Child,"May 22, 2001","R&B, pop, funk",3:28,Columbia,"Charlie Skilling, Beyoncé Knowles, Falonte Moore, Stevie Nicks","Rob Fusari, Beyoncé Knowles, Falonte Moore",,,22 05 2001
Born This Way,Lady Gaga,"February 11, 2011","Electropop, house",4:20,"Streamline, KonLive, Interscope","Stefani Germanotta, Jeppe Laursen","Lady Gaga, Fernando Garibay, Jeppe Laursen, DJ White Shadow",,,11 02 2011
Brandy,Scott English,February 1972,"Folk rock, pop",,"Trojan,  Horse,  Fontana, (UK), Janus, (US)","Scott English, Richard Kerr",,,,February 1972
Brandy,Looking Glass,"May 18, 1972","Soft rock, pop",3:10,Epic,Elliot Lurie,"Mike Gershman, Bob Liftin and the Looking Glass",,,18 05 1972
Brand New Key,Melanie,October 1971,"Folk, pop, soft rock",2:26,Neighborhood,Melanie Safka,Peter Schekeryk,,,October 1971
Breaking Up Is Hard to Do,Neil Sedaka,June 1962,"Brill Building, doo-wop",2:18,RCA Victor,"Neil Sedaka, Howard Greenfield",,,,June 1962
Break My Soul,Beyoncé,"June 20, 2022","Diva house, dance-pop",4:38,"Parkwood, Columbia","Beyoncé, Terius Nash, Christopher Stewart, Shawn Carter, Freddie Ross, Adam Pigott, G Syier Hawkins Brown, Allen George, Fred McFarlane","Beyoncé, The-Dream, Tricky Stewart, Jens Christian Isaksen",,,20 06 2022
Break Your Heart,Taio Cruz,20 September 2009,"Dance-pop, electropop",3:23,"Island, Mercury","Taio Cruz, Fraser T Smith, Chris Bridges, remix)","Taio Cruz, Fraser T Smith",,,20 September 2009
Bridge over Troubled Water,Simon & Garfunkel,"January 20, 1970","Pop rock, ·, gospel, ·, soft rock",4:55,Columbia,Paul Simon,"Roy Halee, Paul Simon, Art Garfunkel",,,20 01 1970
Broken Wings,Mr. Mister,"June 6, 1985","Pop rock, new wave",5:42,RCA,"Richard Page, Steve George, John Lang","Mr. Mister, Paul De Villiers",,,06 06 1985
Brother Louie,Hot Chocolate,1973,,4:23,Rak,"Errol Brown, Tony Wilson",Mickie Most,,,1973
Brown Sugar,The Rolling Stones,16 April 1971,"Hard rock, rock and roll, blues rock, boogie rock",3:50,Rolling Stones,Jagger–Richards,Jimmy Miller,,,16 April 1971
Bump n' Grind,R. Kelly,"January 28, 1994",R&B,4:14,Jive,Robert Kelly,R. Kelly,,,28 01 1994
"Bump, Bump, Bump","B2K, P. Diddy","October 23, 2002","R&B, hip hop",,"TUG, Epic","Robert Kelly, Varick Smith",R. Kelly,,,23 10 2002
Burn,Usher,"March 21, 2004",R&B,4:15,Arista Nashville,"Jermaine Dupri, Bryan-Michael Cox, Usher","Jermaine Dupri, Bryan Michael Cox",,,21 03 2004
Butterfly,Crazy Town,"October 24, 2000",Rap rock,3:36,Columbia,,"Josh Abraham, Bret Mazur","Seth Binzer, Bret Mazur","Seth Binzer, Bret Mazur, Anthony Kiedis, Flea, John Frusciante, Chad Smith",24 10 2000
Butter,BTS,"May 21, 2021","Dance-pop, disco, -, pop, EDM",2:44,"Big Hit, Sony Music","Jenna Andrews, Rob Grimaldi, Stephen Kirk, RM, Alex Bilowitz, Sebastian Garcia, Ron Perry","Grimaldi, Kirk, Perry",,,21 05 2021
Buy U a Drank,"T-Pain, Yung Joc","February 20, 2007","R&B, snap",3:48,"Nappy Boy, Konvict, Jive","Faheem Najm, Jasiel Robinson",T-Pain,,,20 02 2007
Calcutta,Lawrence Welk,December 1960,Easy listening,2:13,Dot,Heino Gaze,Artie Ripp,,,December 1960
California Gurls,"Katy Perry, Snoop Dogg","May 7, 2010","Bubblegum pop, disco-pop, funk-pop",3:56,Capitol,"Katy Perry, Lukasz Gottwald, Max Martin, Benjamin Levin, Bonnie McKee, Calvin Broadus","Dr. Luke, Benny Blanco, Max Martin",,,07 05 2010
California Love,"2Pac, Dr. Dre, Roger Troutman","December 3, 1995","West Coast hip hop, gangsta rap, G-funk",6:29,"Death Row, Interscope","Tupac Shakur, Andre Young, Roger Troutman, Larry Troutman, Mikel Hooks, Norman Durham, Ronald Hudson, Woody Cunningham, Joe Cocker, Chris Stainton, James Anderson, uncredited",Dr. Dre,,,03 12 1995
Call Me Maybe,Carly Rae Jepsen,"September 20, 2011","Pop, teen pop, dance-pop, bubblegum pop",3:13,"604, Schoolboy, Interscope","Carly Rae Jepsen, Josh Ramsay, Tavish Crowe",Josh Ramsay,,,20 09 2011
