Title,URL
Boogie Oogie Oogie,https://en.wikipedia.org/wiki/Boogie_Oogie_Oogie
Boom Boom Pow,https://en.wikipedia.org/wiki/Boom_Boom_Pow
Bootylicious,https://en.wikipedia.org/wiki/Bootylicious
Born This Way (song),https://en.wikipedia.org/wiki/Born_This_Way_(song)
The Box (Roddy Ricch song),https://en.wikipedia.org/wiki/The_Box_(Roddy_Ricch_song)
The Boy Is Mine (Brandy and Monica song),https://en.wikipedia.org/wiki/The_Boy_Is_Mine_(Brandy_and_Monica_song)
Brand New Key,https://en.wikipedia.org/wiki/Brand_New_Key
Brandy (Scott English song),https://en.wikipedia.org/wiki/Brandy_(Scott_English_song)
Brandy (You're a Fine Girl),https://en.wikipedia.org/wiki/Brandy_(You%27re_a_Fine_Girl)
Break My Soul,https://en.wikipedia.org/wiki/Break_My_Soul
Break Your Heart,https://en.wikipedia.org/wiki/Break_Your_Heart
Breaking Up Is Hard to Do,https://en.wikipedia.org/wiki/Breaking_Up_Is_Hard_to_Do
Bridge over Troubled Water (song),https://en.wikipedia.org/wiki/Bridge_over_Troubled_Water_(song)
Broken Wings (Mr. Mister song),https://en.wikipedia.org/wiki/Broken_Wings_(Mr._Mister_song)
Brother Louie (Hot Chocolate song),https://en.wikipedia.org/wiki/Brother_Louie_(Hot_Chocolate_song)
Brown Sugar (Rolling Stones song),https://en.wikipedia.org/wiki/Brown_Sugar_(Rolling_Stones_song)
Bump n' Grind (R. Kelly song),https://en.wikipedia.org/wiki/Bump_n%27_Grind_(R._Kelly_song)
"Bump, Bump, Bump","https://en.wikipedia.org/wiki/Bump,_Bump,_Bump"
Burn (Usher song),https://en.wikipedia.org/wiki/Burn_(Usher_song)
Butter (song),https://en.wikipedia.org/wiki/Butter_(song)
Butterfly (Crazy Town song),https://en.wikipedia.org/wiki/Butterfly_(Crazy_Town_song)
Buy U a Drank (Shawty Snappin'),https://en.wikipedia.org/wiki/Buy_U_a_Drank_(Shawty_Snappin%27)
Calcutta (song),https://en.wikipedia.org/wiki/Calcutta_(song)
California Gurls,https://en.wikipedia.org/wiki/California_Gurls
California Love,https://en.wikipedia.org/wiki/California_Love
Call Me (Blondie song),https://en.wikipedia.org/wiki/Call_Me_(Blondie_song)
Call Me Maybe,https://en.wikipedia.org/wiki/Call_Me_Maybe
Can't Buy Me Love,https://en.wikipedia.org/wiki/Can%27t_Buy_Me_Love
Can't Feel My Face,https://en.wikipedia.org/wiki/Can%27t_Feel_My_Face
Can't Fight This Feeling,https://en.wikipedia.org/wiki/Can%27t_Fight_This_Feeling
"Can't Get Enough of Your Love, Babe","https://en.wikipedia.org/wiki/Can%27t_Get_Enough_of_Your_Love,_Babe"
Can't Help Falling in Love,https://en.wikipedia.org/wiki/Can%27t_Help_Falling_in_Love
Can't Hold Us,https://en.wikipedia.org/wiki/Can%27t_Hold_Us
Can't Nobody Hold Me Down,https://en.wikipedia.org/wiki/Can%27t_Nobody_Hold_Me_Down
Can't Stop the Feeling!,https://en.wikipedia.org/wiki/Can%27t_Stop_the_Feeling!
Candle in the Wind 1997,https://en.wikipedia.org/wiki/Candle_in_the_Wind_1997
The Candy Man,https://en.wikipedia.org/wiki/The_Candy_Man
Candy Shop,https://en.wikipedia.org/wiki/Candy_Shop
(Can't Live Without Your) Love and Affection,https://en.wikipedia.org/wiki/(Can%27t_Live_Without_Your)_Love_and_Affection
Car Wash (song),https://en.wikipedia.org/wiki/Car_Wash_(song)
Cardigan (song),https://en.wikipedia.org/wiki/Cardigan_(song)
Careless Whisper,https://en.wikipedia.org/wiki/Careless_Whisper
Caribbean Queen (No More Love on the Run),https://en.wikipedia.org/wiki/Caribbean_Queen_(No_More_Love_on_the_Run)
Carnival (¥$ song),https://en.wikipedia.org/wiki/Carnival_(%C2%A5$_song)
Cat's in the Cradle,https://en.wikipedia.org/wiki/Cat%27s_in_the_Cradle
Cathy's Clown,https://en.wikipedia.org/wiki/Cathy%27s_Clown
Celebration (Kool & the Gang song),https://en.wikipedia.org/wiki/Celebration_(Kool_%26_the_Gang_song)
Centerfold (song),https://en.wikipedia.org/wiki/Centerfold_(song)
Chapel of Love,https://en.wikipedia.org/wiki/Chapel_of_Love
Chariots of Fire (instrumental),https://en.wikipedia.org/wiki/Chariots_of_Fire_(instrumental)
Cheap Thrills (song),https://en.wikipedia.org/wiki/Cheap_Thrills_(song)
Check on It,https://en.wikipedia.org/wiki/Check_on_It
Cheerleader (Omi song),https://en.wikipedia.org/wiki/Cheerleader_(Omi_song)
Cherish (The Association song),https://en.wikipedia.org/wiki/Cherish_(The_Association_song)
The Chipmunk Song (Christmas Don't Be Late),https://en.wikipedia.org/wiki/The_Chipmunk_Song_(Christmas_Don%27t_Be_Late)
Circles (Post Malone song),https://en.wikipedia.org/wiki/Circles_(Post_Malone_song)
Close to You (Maxi Priest song),https://en.wikipedia.org/wiki/Close_to_You_(Maxi_Priest_song)
Closer (The Chainsmokers song),https://en.wikipedia.org/wiki/Closer_(The_Chainsmokers_song)
Cold Hearted (Paula Abdul song),https://en.wikipedia.org/wiki/Cold_Hearted_(Paula_Abdul_song)
Come On Eileen,https://en.wikipedia.org/wiki/Come_On_Eileen
